Mid-year population estimates: Scotland and its council areas by single year of age and sex: 2000,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persons (continued),,,
Code,Persons,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S92000003,Scotland,"5,062,940","53,411","55,832","57,006","58,857","58,107","59,175","61,130","62,657","65,149","65,231","63,532","63,424","65,617","64,971","65,340","65,324","61,839","61,398","62,128","67,207","67,675","64,906","59,752","57,216","60,056","60,310","60,998","65,453","69,568","73,643","73,362","76,396","78,278","79,878","78,819","81,691","81,413","81,116","80,009","78,829","76,948","76,061","74,578","72,653","71,064","68,316","67,913","66,560","64,443","66,124","66,981","69,101","71,611","77,828","60,342","58,028","59,782","58,523","54,680","51,980","53,885","53,530","53,105","51,593","51,123","49,936","48,184","46,829","47,456","46,233","44,859","43,208","40,360","39,224","38,923","36,271","34,850","32,028","32,121","30,907","30,343","19,755","17,184","16,777","16,376","15,652","13,976","11,761","9,758","8,218","28,296"
S12000001,Aberdeen City,"213,340","2,116","2,194","2,096","2,127","2,101","2,201","2,251","2,278","2,336","2,354","2,230","2,260","2,316","2,208","2,378","2,226","2,092","2,355","3,189","4,007","4,467","4,132","3,598","3,531","3,375","3,315","3,425","3,547","3,550","3,722","3,477","3,604","3,439","3,456","3,327","3,486","3,301","3,320","3,242","3,137","3,300","3,160","3,113","3,002","2,948","2,869","2,793","2,642","2,647","2,693","2,707","2,888","2,830","3,109","2,338","2,027","2,106","2,168","2,070","1,928","2,062","1,960","1,963","1,939","1,946","1,899","1,935","1,862","1,935","1,801","1,789","1,742","1,664","1,643","1,542","1,485","1,384","1,328","1,281","1,292","1,344",702,672,667,698,619,545,520,425,342,"1,250"
S12000002,Aberdeenshire,"227,020","2,446","2,581","2,668","2,759","2,744","2,881","3,030","3,153","3,208","3,202","3,213","3,187","3,299","3,249","3,245","3,208","3,085","2,962","2,581","2,373","2,385","2,219","2,161","2,081","2,180","2,194","2,389","2,533","2,692","3,020","3,039","3,305","3,358","3,579","3,600","3,668","3,783","3,836","3,661","3,687","3,602","3,665","3,758","3,617","3,628","3,541","3,690","3,355","3,262","3,364","3,365","3,542","3,629","3,842","3,034","2,717","2,797","2,662","2,493","2,178","2,425","2,265","2,222","2,120","2,151","1,989","1,946","1,861","1,866","1,816","1,747","1,691","1,588","1,493","1,473","1,457","1,378","1,232","1,282","1,162","1,202",772,696,660,632,624,568,494,417,361,"1,245"
S12000003,Angus,"108,850","1,048","1,129","1,210","1,249","1,226","1,246","1,318","1,321","1,390","1,403","1,342","1,290","1,343","1,398","1,379","1,463","1,400","1,285","1,291","1,160","1,074","1,101","1,090","1,068","1,097","1,101","1,112","1,289","1,352","1,380","1,333","1,493","1,462","1,549","1,517","1,648","1,645","1,646","1,714","1,579","1,682","1,580","1,538","1,499","1,532","1,424","1,516","1,561","1,462","1,528","1,577","1,650","1,751","1,941","1,380","1,445","1,425","1,362","1,292","1,164","1,279","1,168","1,221","1,227","1,201","1,147","1,121","1,058","1,118","1,130","1,035",997,"1,019",903,918,854,826,809,745,698,767,447,418,427,412,400,349,311,259,234,902
S12000004,Argyll and Bute,"91,050",805,902,929,989,"1,025","1,072","1,076","1,120","1,164","1,135","1,194","1,162","1,144","1,110","1,135","1,152","1,107","1,082",867,906,852,859,825,795,896,930,963,"1,068","1,105","1,050","1,246","1,202","1,304","1,299","1,241","1,397","1,374","1,412","1,355","1,379","1,357","1,313","1,274","1,234","1,330","1,180","1,188","1,218","1,143","1,292","1,248","1,376","1,321","1,633","1,219","1,227","1,258","1,173","1,165","1,083","1,210","1,146","1,085","1,102","1,057","1,008",957,980,972,926,920,892,828,740,752,751,702,663,626,649,618,437,335,376,376,341,313,235,243,199,751
S12000012,City of Edinburgh,"448,430","4,583","4,642","4,596","4,576","4,609","4,501","4,613","4,704","4,861","4,842","4,631","4,730","4,743","4,658","4,816","4,628","4,354","4,706","6,115","7,694","8,677","8,549","8,011","7,588","7,519","7,620","7,496","7,610","7,758","8,326","7,703","7,627","7,818","7,777","7,368","7,499","7,186","7,360","6,894","7,000","6,682","6,457","6,294","6,269","5,848","5,648","5,418","5,408","5,327","5,441","5,508","5,686","5,735","6,394","4,645","4,449","4,495","4,385","4,014","3,859","4,097","4,108","4,078","3,924","4,027","3,834","3,817","3,831","3,777","3,854","3,662","3,529","3,447","3,467","3,320","3,098","3,075","2,864","3,019","2,868","2,795","1,807","1,464","1,545","1,500","1,472","1,352","1,127","1,004",809,"2,909"
S12000005,Clackmannanshire,"48,170",527,539,549,590,625,630,588,696,691,671,677,628,692,696,654,687,646,607,547,547,529,500,507,481,526,539,520,591,628,611,685,758,737,784,730,765,782,775,773,764,730,766,687,682,662,687,655,639,625,689,696,733,763,798,631,599,630,588,565,497,481,478,503,532,462,431,394,397,434,362,440,382,338,327,326,291,312,286,319,257,270,190,157,141,131,136,123,101,86,63,226
